kernel,B,nh,T,hd,is_causal,avg_ms,median_ms,std_dev_ms,min_ms,max_ms,tflops,bandwidth_gb_s
owntensor_sm89,1,12,512,64,0,0.045679,0.046080,0.000554,0.045056,0.047104,17629.525402,137.730667
pytorch_sdpa,1,12,512,64,0,0.062066,0.062464,0.000583,0.061440,0.063488,12974.966033,101.366922
owntensor_sm89,1,12,512,64,1,0.044565,0.045024,0.000509,0.044032,0.045056,9035.160819,141.174388
pytorch_sdpa,1,12,512,64,1,0.064389,0.064512,0.001048,0.060416,0.065536,6253.468685,97.710448
owntensor_sm89,1,12,1024,64,0,0.147985,0.148400,0.000446,0.147456,0.148480,21767.263363,85.028373
pytorch_sdpa,1,12,1024,64,0,0.171818,0.172032,0.001849,0.166912,0.175104,18747.900752,73.233987
owntensor_sm89,1,12,1024,64,1,0.100333,0.100352,0.000381,0.099328,0.101376,16052.712854,125.411819
pytorch_sdpa,1,12,1024,64,1,0.143003,0.143360,0.000979,0.141312,0.145408,11262.821388,87.990792
owntensor_sm89,4,12,1024,64,0,0.429928,0.430080,0.001544,0.427008,0.433152,29969.935083,117.070059
pytorch_sdpa,4,12,1024,64,0,0.578518,0.578560,0.025437,0.536576,0.613376,22272.270038,87.001055
owntensor_sm89,4,12,1024,64,1,0.273050,0.269312,0.013635,0.259072,0.299008,23594.424959,184.331445
pytorch_sdpa,4,12,1024,64,1,0.358297,0.356864,0.010648,0.338944,0.379904,17980.740062,140.474532
owntensor_sm89,16,12,1024,64,0,1.649786,1.641984,0.019409,1.620992,1.684480,31240.179888,122.031953
pytorch_sdpa,16,12,1024,64,0,2.866065,2.845696,0.065931,2.759680,3.008512,17982.709977,70.244961
owntensor_sm89,16,12,1024,64,1,0.932127,0.934400,0.020318,0.871424,0.952320,27646.238607,215.986239
pytorch_sdpa,16,12,1024,64,1,1.564672,1.585152,0.108523,1.181696,1.687552,16469.782685,128.670177
owntensor_sm89,1,16,2048,64,0,0.611677,0.611328,0.001794,0.609280,0.615424,28086.500047,54.856445
pytorch_sdpa,1,16,2048,64,0,0.737802,0.707584,0.042182,0.691200,0.806912,23285.209404,45.478925
owntensor_sm89,1,16,2048,64,1,0.364767,0.364544,0.008258,0.355328,0.379904,23549.087577,91.988623
pytorch_sdpa,1,16,2048,64,1,0.495769,0.495616,0.015748,0.447488,0.539648,17326.484031,67.681578
owntensor_sm89,8,16,1024,64,0,1.111173,1.112048,0.015026,1.065984,1.131520,30922.051187,120.789262
pytorch_sdpa,8,16,1024,64,0,1.862748,1.869824,0.100926,1.380352,2.015232,18445.727640,72.053624
owntensor_sm89,8,16,1024,64,1,0.620103,0.625664,0.010917,0.600064,0.631808,27704.863772,216.444248
pytorch_sdpa,8,16,1024,64,1,1.009889,1.021440,0.073319,0.788480,1.111040,17011.638946,132.903429
owntensor_sm89,1,32,2048,128,0,2.409543,2.402304,0.014842,2.400256,2.444288,28519.718996,55.702576
pytorch_sdpa,1,32,2048,128,0,2.211706,2.294784,0.178290,1.825792,2.332672,31070.805312,60.685167
owntensor_sm89,1,32,2048,128,1,1.291714,1.295360,0.022002,1.212416,1.320960,26600.104151,103.906657
pytorch_sdpa,1,32,2048,128,1,1.313976,1.294336,0.070284,1.026048,1.382400,26149.447499,102.146279
owntensor_sm89,4,32,2048,128,0,9.444105,9.365504,0.106620,9.361408,9.649152,29105.765197,56.847198
pytorch_sdpa,4,32,2048,128,0,9.727002,9.479680,0.341814,9.314304,10.280960,28259.262502,55.193872
owntensor_sm89,4,32,2048,128,1,4.962866,4.961280,0.007176,4.959232,4.989952,27693.465468,108.177599
pytorch_sdpa,4,32,2048,128,1,5.376995,5.361664,0.033998,5.310464,5.514240,25560.550318,99.845900
