kernel,B,T,hidden,numel,avg_ms,median_ms,std_dev_ms,min_ms,max_ms,tflops,bandwidth_gb_s
owntensor_gelu_sm89,1,1024,3072,3145728,0.030534,0.030720,0.000984,0.028672,0.033728,824.179527,824.179527
pytorch_gelu_tanh,1,1024,3072,3145728,0.031509,0.031744,0.001070,0.029696,0.034816,798.675594,798.675594
owntensor_gelu_sm89,4,1024,3072,12582912,0.122009,0.121856,0.001312,0.118784,0.124928,825.045841,825.045841
pytorch_gelu_tanh,4,1024,3072,12582912,0.124982,0.124928,0.001698,0.121856,0.129024,805.420048,805.420048
owntensor_gelu_sm89,16,1024,3072,50331648,0.499238,0.499712,0.003257,0.493568,0.522240,806.535457,806.535457
pytorch_gelu_tanh,16,1024,3072,50331648,0.504843,0.504832,0.003098,0.497664,0.513024,797.580439,797.580439
owntensor_gelu_sm89,32,1024,3072,100663296,1.003511,1.003520,0.004129,0.994304,1.015808,802.489059,802.489059
pytorch_gelu_tanh,32,1024,3072,100663296,1.002277,1.002496,0.004041,0.992256,1.014784,803.476647,803.476647
owntensor_gelu_sm89,1,2048,3072,6291456,0.063916,0.063488,0.001275,0.061440,0.067584,787.460344,787.460344
pytorch_gelu_tanh,1,2048,3072,6291456,0.065820,0.065536,0.001623,0.061440,0.069568,764.680856,764.680856
owntensor_gelu_sm89,16,2048,3072,100663296,1.002587,1.002496,0.002970,0.995328,1.010592,803.228639,803.228639
pytorch_gelu_tanh,16,2048,3072,100663296,1.004604,1.004544,0.004085,0.992256,1.012736,801.615458,801.615458
owntensor_gelu_sm89,16,1024,4096,67108864,0.669022,0.668672,0.002842,0.661504,0.675840,802.471781,802.471781
pytorch_gelu_tanh,16,1024,4096,67108864,0.675318,0.674816,0.003993,0.666624,0.687104,794.989432,794.989432
owntensor_gelu_sm89,16,1024,16384,268435456,2.704723,2.707936,0.012158,2.671616,2.727936,793.975550,793.975550
pytorch_gelu_tanh,16,1024,16384,268435456,2.676392,2.676736,0.009568,2.630656,2.700288,802.380136,802.380136
