kernel,rows,cols,avg_ms,median_ms,std_dev_ms,min_ms,max_ms,tflops,bandwidth_gb_s
owntensor_ln_bwd_sm89,1024,768,0.026031,0.025600,0.000546,0.024576,0.027648,151.056684,363.204782
pytorch_ln_bwd,1024,768,0.023194,0.023552,0.000620,0.021504,0.024576,169.532002,407.627336
owntensor_ln_bwd_sm89,4096,768,0.067647,0.067584,0.000629,0.066560,0.068608,232.510472,558.645767
pytorch_ln_bwd,4096,768,0.069481,0.069632,0.001568,0.066560,0.074752,226.374466,543.902973
owntensor_ln_bwd_sm89,16384,768,0.334355,0.334768,0.000913,0.331776,0.336896,188.166732,452.019735
pytorch_ln_bwd,16384,768,0.357830,0.358400,0.002118,0.353280,0.362496,175.822653,422.366418
owntensor_ln_bwd_sm89,32768,768,0.611605,0.611328,0.001381,0.609280,0.614400,205.736089,494.210298
pytorch_ln_bwd,32768,768,0.681444,0.680960,0.002064,0.677888,0.688128,184.650651,443.559775
owntensor_ln_bwd_sm89,16384,3072,1.214966,1.215440,0.003030,1.207296,1.222656,207.131869,497.254709
pytorch_ln_bwd,16384,3072,1.313022,1.313744,0.003735,1.304576,1.321984,191.663399,460.120058
owntensor_ln_bwd_sm89,16384,4096,1.608366,1.607680,0.003845,1.600512,1.617920,208.624307,500.810392
pytorch_ln_bwd,16384,4096,1.785723,1.786880,0.009851,1.764352,1.805312,187.903943,451.070388
owntensor_ln_bwd_sm89,16384,1024,0.425202,0.424960,0.000992,0.421888,0.427008,197.285348,473.821993
pytorch_ln_bwd,16384,1024,0.475915,0.476160,0.001998,0.472064,0.480256,176.262719,423.331757
