kernel,batch_size,vocab_size,avg_ms,median_ms,std_dev_ms,min_ms,max_ms,tflops,bandwidth_gb_s
owntensor_ce_bwd_normalize_from_stats,1024,50304,0.553680,0.553984,0.004469,0.540672,0.565248,372.137546,744.275092
pytorch_ce_bwd,1024,50304,0.924121,0.923648,0.002057,0.918528,0.929792,222.963478,445.926956
owntensor_ce_bwd_normalize_from_stats,4096,50304,2.108746,2.102784,0.022965,2.069504,2.177024,390.839299,781.678599
pytorch_ce_bwd,4096,50304,3.531523,3.531776,0.004580,3.520512,3.543040,233.378257,466.756514
owntensor_ce_bwd_normalize_from_stats,8192,50304,4.151627,4.144128,0.027169,4.099136,4.230176,397.039916,794.079832
pytorch_ce_bwd,8192,50304,6.989702,6.989824,0.006176,6.969344,7.011328,235.827154,471.654308
owntensor_ce_bwd_normalize_from_stats,16384,50304,8.234301,8.225280,0.037569,8.180736,8.428544,400.364657,800.729315
pytorch_ce_bwd,16384,50304,13.910517,13.910528,0.010335,13.882368,13.938688,236.995002,473.990004
owntensor_ce_bwd_normalize_from_stats,32768,50304,16.409134,16.401407,0.055243,16.352257,16.796673,401.815594,803.631188
pytorch_ce_bwd,32768,50304,27.691648,27.689983,0.019137,27.658239,27.738111,238.102325,476.204650
owntensor_ce_bwd_normalize_from_stats,16384,32000,5.266382,5.257728,0.040383,5.213184,5.440512,398.214925,796.429850
pytorch_ce_bwd,16384,32000,8.147800,8.132624,0.043760,8.104960,8.397824,257.388729,514.777458
owntensor_ce_bwd_normalize_from_stats,16384,128256,21.204344,21.190144,0.057675,21.126144,21.527519,396.399214,792.798428
pytorch_ce_bwd,16384,128256,38.649479,38.650368,0.024705,38.597633,38.701057,217.477323,434.954646
