kernel,rows,cols,avg_ms,median_ms,std_dev_ms,min_ms,max_ms,tflops,bandwidth_gb_s
owntensor_ln_fwd_sm89,1024,768,0.012585,0.012288,0.000565,0.011264,0.014336,312.449421,501.058212
pytorch_layer_norm,1024,768,0.012086,0.012288,0.000610,0.011264,0.013312,325.355123,521.754388
owntensor_ln_fwd_sm89,4096,768,0.036310,0.035840,0.001188,0.034816,0.038912,433.171443,694.145956
pytorch_layer_norm,4096,768,0.036690,0.036864,0.001148,0.033792,0.038912,428.690710,686.965700
owntensor_ln_fwd_sm89,16384,768,0.124190,0.123904,0.001535,0.121824,0.129024,506.600387,811.665510
pytorch_layer_norm,16384,768,0.126053,0.125952,0.001501,0.122880,0.131072,499.111762,799.667377
owntensor_ln_fwd_sm89,32768,768,0.247633,0.247808,0.002411,0.241664,0.254976,508.127440,814.087314
pytorch_layer_norm,32768,768,0.248299,0.247840,0.002026,0.243712,0.252928,506.763831,811.902632
owntensor_ln_fwd_sm89,16384,3072,0.504495,0.503808,0.002392,0.497728,0.510976,498.831544,798.438992
pytorch_layer_norm,16384,3072,0.510647,0.510976,0.003088,0.503808,0.518144,492.822438,788.820706
owntensor_ln_fwd_sm89,16384,4096,0.661024,0.660480,0.002884,0.654336,0.666624,507.612615,812.428042
pytorch_layer_norm,16384,4096,0.696739,0.698320,0.005354,0.683008,0.707488,481.592220,770.782704
owntensor_ln_fwd_sm89,16384,1024,0.173034,0.173056,0.001748,0.167936,0.178176,484.796576,776.479360
pytorch_layer_norm,16384,1024,0.165551,0.165888,0.001789,0.160768,0.169984,506.708183,811.574307
