kernel,N,D,avg_ms,median_ms,std_dev_ms,min_ms,max_ms,tflops,bandwidth_gb_s
owntensor_reduce_inner,16384,768,0.082493,0.082944,0.000513,0.081920,0.083008,152.532964,610.926299
pytorch_sum_dim1,16384,768,0.083076,0.082944,0.000520,0.081920,0.083968,151.462402,606.638476
owntensor_reduce_inner,16384,3072,0.306932,0.306672,0.001161,0.305152,0.310272,163.983025,656.145620
pytorch_sum_dim1,16384,3072,0.311327,0.311296,0.000286,0.310272,0.312320,161.668229,646.883423
owntensor_reduce_inner,16384,50304,3.778637,3.778560,0.004026,3.776512,3.781632,218.115871,872.480826
pytorch_sum_dim1,16384,50304,3.785308,3.783680,0.018113,3.781632,3.963904,217.731506,870.943339
owntensor_reduce_inner,1024,768,0.011252,0.011264,0.000394,0.010240,0.012288,69.893584,279.938366
pytorch_sum_dim1,1024,768,0.011670,0.011264,0.000518,0.010240,0.012288,67.390618,269.913465
owntensor_reduce_inner,4096,768,0.025466,0.025600,0.000471,0.024576,0.026624,123.527078,494.751683
pytorch_sum_dim1,4096,768,0.025918,0.025600,0.000472,0.025600,0.026624,121.372043,486.120317
owntensor_reduce_inner,32768,768,0.162490,0.162816,0.000507,0.161792,0.163840,154.876500,620.312647
pytorch_sum_dim1,32768,768,0.164057,0.163840,0.000463,0.162912,0.164864,153.396607,614.385370
owntensor_reduce_inner,16384,4096,0.386734,0.387072,0.000752,0.385056,0.389120,173.527145,694.278041
pytorch_sum_dim1,16384,4096,0.386815,0.387072,0.000782,0.385024,0.389120,173.490740,694.132385
