Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
91.3,777578111,325,2392548.0,1095269.0,64544,8242083,2393604.4,nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_NNT
2.0,16742249,25,669690.0,342306.0,330625,3090573,910319.2,nvjet_sm103_tst_320x192_64x4_2x2f_2cta_h_bz_NNT
1.3,11345262,25,453810.5,235233.0,227361,2977164,758484.2,nvjet_sm103_tst_256x256_64x4_2x2_2cta_h_bz_NNT
1.3,10752755,304,35370.9,14880.0,5472,2853868,164758.8,nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_NNT
1.2,10645643,204,52184.5,59616.0,14336,84608,29355.6,nvjet_sm103_tst_128x256_64x6_2x2f_2cta_h_bz_NNT
0.9,7682237,75,102429.8,50624.0,22976,2869195,326488.9,nvjet_sm103_tst_128x192_64x7_2x1_2cta_v_bz_NNT
0.8,7121664,400,17804.2,6496.0,4000,85056,25177.8,"void bgemm_sm103_bf16_nn_cluster_kernel<(int)128, (int)128, (int)64, (int)8>(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, float, float, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, int)"
0.3,2201674,50,44033.5,43040.5,15200,74656,28564.0,nvjet_sm103_tst_128x192_64x7_2x2f_2cta_h_bz_NNT
0.2,1587588,75,21167.8,23904.0,14400,26336,4597.1,nvjet_sm103_tst_160x192_64x5_1x2_2cta_h_bz_NNN
0.2,1575208,25,63008.3,62881.0,60225,65760,1875.2,nvjet_sm103_tst_128x160_64x8_2x1_2cta_v_bz_NNT
0.1,1085606,25,43424.2,42592.0,41504,52641,2757.1,nvjet_sm103_tst_128x8_64x12_2x1_v_bz_splitK_NNT
0.1,790659,25,31626.4,31616.0,28416,35425,2040.5,nvjet_sm103_tst_256x128_64x5_2x2_2cta_h_bz_NNT
0.1,707873,153,4626.6,3520.0,3136,8832,1490.4,nvjet_sm103_tst_128x64_64x10_2x2_2cta_h_bz_NNT
0.0,356803,100,3568.0,3744.0,2496,4768,535.2,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)0, float, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.0,310306,25,12412.2,12192.0,11936,14304,575.8,nvjet_sm103_tst_128x128_64x8_2x2_2cta_h_bz_NNT
0.0,309666,50,6193.3,6368.0,4832,9952,1376.7,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_splitK_NNT
0.0,305408,77,3966.3,2624.0,2400,10016,2069.3,nvjet_sm103_tst_64x32_64x16_2x2_2cta_h_bz_NNT
0.0,260929,25,10437.2,10240.0,9952,12896,667.0,nvjet_sm103_tst_32x64_64x16_4x1_v_bz_NNN
0.0,202976,25,8119.0,8000.0,7712,9088,354.7,nvjet_sm103_tst_160x192_64x5_2x2_2cta_h_bz_NNN
0.0,120640,52,2320.0,2272.0,2080,2912,200.2,nvjet_sm103_tst_64x8_64x16_1x4_h_bz_NNT
0.0,120258,25,4810.3,4864.0,4224,4896,154.9,nvjet_sm103_tst_64x32_64x16_1x2_h_bz_splitK_NNT
0.0,104097,25,4163.9,4000.0,3904,5280,389.5,nvjet_sm103_tst_64x64_64x16_2x2_2cta_h_bz_NNT
0.0,92866,25,3714.6,3680.0,3488,4736,315.8,void cutlass::Kernel2<cutlass_75_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nn_align1>(T1::Params)
0.0,56896,26,2188.3,2128.0,1920,2976,238.5,nvjet_sm103_tst_64x8_64x16_2x4_h_bz_NNT
