Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
91.3,780227207,325,2400699.1,1391814.0,64704,8256613,2392585.9,nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_NTT
2.0,16759241,25,670369.6,343266.0,333409,3087565,907671.8,nvjet_sm103_tst_320x192_64x3_2x2f_2cta_h_bz_NTT
1.3,11334419,25,453376.8,234433.0,228513,2979534,759801.6,nvjet_sm103_tst_256x256_64x4_2x2_2cta_h_bz_NTT
1.3,10704718,304,35212.9,14816.0,5312,2859212,165007.2,nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_NTT
1.2,10675854,204,52332.6,58784.5,14816,84897,29012.9,nvjet_sm103_tst_128x256_64x6_2x2f_2cta_h_bz_NTT
0.9,7773571,75,103647.6,51392.0,25280,2859245,325121.2,nvjet_sm103_tst_128x192_64x6_2x1_2cta_v_bz_NTT
0.8,7120513,400,17801.3,6496.0,4000,84896,25184.8,"void bgemm_sm103_bf16_tn_cluster_kernel<(int)128, (int)128, (int)64, (int)8>(const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, float, float, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, int)"
0.3,2227240,50,44544.8,43280.5,15360,76833,29059.4,nvjet_sm103_tst_128x192_64x6_2x2f_2cta_h_bz_NTT
0.2,1632071,25,65282.8,66112.0,62657,67457,1605.3,nvjet_sm103_tst_128x160_64x6_2x1_2cta_v_bz_NTT
0.2,1596134,75,21281.8,24128.0,14592,26144,4419.0,nvjet_sm103_tst_160x192_64x5_1x2_2cta_h_bz_NTN
0.1,1083300,25,43332.0,42656.0,41377,52609,2762.4,nvjet_sm103_tst_128x8_64x12_2x1_v_bz_splitK_NNT
0.1,796741,25,31869.6,31585.0,28224,35776,1825.9,nvjet_sm103_tst_256x128_64x5_2x2_2cta_h_bz_NTT
0.1,716194,153,4681.0,3616.0,3008,8064,1402.0,nvjet_sm103_tst_128x64_64x10_2x2_2cta_h_bz_NTT
0.1,470914,50,9418.3,10224.0,7904,13056,1326.4,nvjet_sm103_tst_32x64_64x16_4x1_v_bz_NTN
0.0,338753,77,4399.4,2848.0,2560,12000,2480.2,nvjet_sm103_tst_64x32_64x16_2x2_2cta_h_bz_NTT
0.0,308578,25,12343.1,12128.0,11936,13312,430.9,nvjet_sm103_tst_128x128_64x8_2x2_2cta_h_bz_NTT
0.0,287906,75,3838.7,3808.0,2816,4416,247.9,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)0, float, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.0,206721,25,8268.8,8192.0,8064,8928,205.7,nvjet_sm103_tst_160x192_64x5_2x2_2cta_h_bz_NTN
0.0,181922,78,2332.3,2304.0,1920,2944,208.5,nvjet_sm103_tst_64x32_64x16_2x4_2cta_h_bz_NTT
0.0,177761,25,7110.4,6944.0,6208,10656,967.9,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_splitK_NNT
0.0,121377,25,4855.1,4896.0,4192,4960,174.9,nvjet_sm103_tst_64x32_64x16_1x2_h_bz_splitK_NTT
0.0,103328,25,4133.1,3968.0,3872,5184,410.8,nvjet_sm103_tst_64x64_64x16_2x2_2cta_h_bz_NTT
0.0,95425,25,3817.0,3776.0,3584,5088,364.4,void cutlass::Kernel2<cutlass_75_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nt_align1>(T1::Params)
