Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
86.3,347076675,325,1067928.2,767081.0,65536,3628586,970750.6,nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_NNT
2.7,10786905,204,52877.0,60001.0,12768,86209,29875.0,nvjet_sm103_tst_128x256_64x6_2x2f_2cta_h_bz_NNT
2.2,8681732,25,347269.3,346884.0,331876,357124,5235.7,nvjet_sm103_tst_320x192_64x4_2x2f_2cta_h_bz_NNT
2.0,7889153,304,25951.2,14880.5,4224,117826,30039.9,nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_NNT
1.8,7137230,400,17843.1,6496.0,3968,86113,25329.2,"void bgemm_sm103_bf16_nn_cluster_kernel<(int)128, (int)128, (int)64, (int)8>(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, float, float, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, int)"
1.5,5971782,25,238871.3,239395.0,226531,242979,3303.3,nvjet_sm103_tst_256x256_64x4_2x2_2cta_h_bz_NNT
1.2,5020888,75,66945.2,51232.0,22112,131234,43635.6,nvjet_sm103_tst_128x192_64x7_2x1_2cta_v_bz_NNT
0.6,2226009,50,44520.2,42768.5,13696,75777,29220.9,nvjet_sm103_tst_128x192_64x7_2x2f_2cta_h_bz_NNT
0.4,1598354,25,63934.2,64289.0,60097,66497,2082.5,nvjet_sm103_tst_128x160_64x8_2x1_2cta_v_bz_NNT
0.4,1581392,75,21085.2,23904.0,13216,26529,4561.2,nvjet_sm103_tst_160x192_64x5_1x2_2cta_h_bz_NNN
0.3,1023789,25,40951.6,40705.0,39648,42017,616.6,nvjet_sm103_tst_128x8_64x12_2x1_v_bz_splitK_NNT
0.2,781063,25,31242.5,31424.0,27776,35328,2241.5,nvjet_sm103_tst_256x128_64x5_2x2_2cta_h_bz_NNT
0.1,567715,153,3710.6,2976.0,2304,6752,1450.8,nvjet_sm103_tst_128x64_64x10_2x2_2cta_h_bz_NNT
0.1,313027,100,3130.3,3120.0,1952,5184,725.8,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)0, float, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.1,304611,25,12184.4,12160.0,10880,12800,366.6,nvjet_sm103_tst_128x128_64x8_2x2_2cta_h_bz_NNT
0.1,256705,77,3333.8,1984.0,1920,7296,1943.5,nvjet_sm103_tst_64x32_64x16_2x2_2cta_h_bz_NNT
0.1,254404,25,10176.2,10240.0,9024,10784,500.5,nvjet_sm103_tst_32x64_64x16_4x1_v_bz_NNN
0.1,247361,50,4947.2,5632.0,4032,6305,818.1,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_splitK_NNT
0.0,198978,25,7959.1,8000.0,7457,8512,256.2,nvjet_sm103_tst_160x192_64x5_2x2_2cta_h_bz_NNN
0.0,98752,52,1899.1,1888.0,1760,2560,128.8,nvjet_sm103_tst_64x8_64x16_1x4_h_bz_NNT
0.0,90081,25,3603.2,3552.0,3456,4128,147.2,void cutlass::Kernel2<cutlass_75_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nn_align1>(T1::Params)
0.0,82400,25,3296.0,3264.0,3168,3968,143.4,nvjet_sm103_tst_64x64_64x16_2x2_2cta_h_bz_NNT
0.0,76000,25,3040.0,3008.0,2944,3712,146.9,nvjet_sm103_tst_64x32_64x16_1x2_h_bz_splitK_NNT
0.0,42657,26,1640.7,1648.0,1504,1920,103.0,nvjet_sm103_tst_64x8_64x16_2x4_h_bz_NNT
