Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
86.1,342705838,325,1054479.5,762729.0,63745,3284644,943829.6,nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_TNT
2.7,10837907,204,53127.0,60272.0,12384,86113,29746.7,nvjet_sm103_tst_128x256_64x6_2x2f_2cta_h_bz_TNT
2.2,8698141,25,347925.6,347684.0,332419,355107,5137.3,nvjet_sm103_tst_320x192_64x4_2x2f_2cta_h_bz_TNT
2.0,7893494,304,25965.4,14848.0,4256,117153,30158.3,nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_TNT
1.8,7132429,400,17831.1,6496.0,3936,87009,25389.3,"void bgemm_sm103_bf16_nt_cluster_kernel<(int)128, (int)128, (int)64, (int)8>(const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, float, float, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, int)"
1.5,6002464,25,240098.6,241026.0,228546,243427,3578.4,nvjet_sm103_tst_256x256_64x4_2x2_2cta_h_bz_TNT
1.3,5026392,75,67018.6,51649.0,21793,130625,43514.5,nvjet_sm103_tst_128x192_64x7_2x1_2cta_v_bz_TNT
0.5,1833299,25,73332.0,73824.0,69088,75969,1982.9,nvjet_sm103_tst_128x192_64x7_2x2f_2cta_h_bz_TNT
0.4,1591408,25,63656.3,64385.0,59712,65985,2050.2,nvjet_sm103_tst_128x160_64x8_2x1_2cta_v_bz_TNT
0.4,1567377,75,20898.4,23744.0,12640,26752,4422.8,nvjet_sm103_tst_160x192_64x6_1x2_2cta_h_bz_TNN
0.3,1076332,25,43053.3,43104.0,41760,43872,490.6,nvjet_sm103_tst_128x8_64x12_2x1_v_bz_splitK_TNT
0.2,794665,25,31786.6,31969.0,28224,35072,1979.9,nvjet_sm103_tst_256x128_64x5_2x2_2cta_h_bz_TNT
0.1,565607,153,3696.8,2976.0,2208,6656,1426.9,nvjet_sm103_tst_128x64_64x10_2x2_2cta_h_bz_TNT
0.1,375684,25,15027.4,14944.0,13792,16448,578.4,nvjet_sm103_tst_176x128_64x8_1x2_2cta_h_bz_TNN
0.1,309379,25,12375.2,12385.0,11488,13536,407.4,nvjet_sm103_tst_128x128_64x8_2x2_2cta_h_bz_TNT
0.1,253823,77,3296.4,1952.0,1888,7104,1940.3,nvjet_sm103_tst_64x32_64x16_2x2_2cta_h_bz_TNT
0.1,250242,25,10009.7,10080.0,8992,10624,445.1,nvjet_sm103_tst_32x64_64x16_4x1_v_bz_TNN
0.1,223744,75,2983.3,2624.0,1920,4352,759.8,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)0, float, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.1,208739,25,8349.6,8384.0,7648,8896,255.6,nvjet_sm103_tst_160x192_64x6_2x2_2cta_h_bz_TNN
0.0,157987,25,6319.5,6336.0,6017,6592,187.9,nvjet_sm103_tst_64x16_64x16_4x1_2cta_h_bz_TNT
0.0,106753,25,4270.1,4160.0,4096,6400,459.1,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_splitK_TNT
0.0,98018,52,1885.0,1872.0,1760,2592,136.5,nvjet_sm103_tst_64x8_64x16_1x4_h_bz_TNT
0.0,89378,25,3575.1,3553.0,3360,3936,122.8,void cutlass::Kernel2<cutlass_75_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_tn_align1>(T1::Params)
0.0,81760,25,3270.4,3264.0,3168,3872,129.0,nvjet_sm103_tst_64x64_64x16_2x2_2cta_h_bz_TNT
0.0,75552,25,3022.1,2976.0,2944,3776,158.4,nvjet_sm103_tst_64x32_64x16_1x2_h_bz_splitK_TNT
0.0,42528,26,1635.7,1664.0,1504,1920,109.9,nvjet_sm103_tst_64x8_64x16_2x4_h_bz_TNT
