Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
43.5,7125126,400,17812.8,6512.0,4096,84737,25201.0,"void bgemm_sm103_bf16_nn_cluster_kernel<(int)128, (int)128, (int)64, (int)8>(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, float, float, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, int)"
31.0,5083644,104,48881.2,48096.5,14368,85473,34082.8,nvjet_sm103_tst_128x256_64x6_2x2f_2cta_h_bz_NNT
6.8,1112454,104,10696.7,10448.0,5248,15584,4095.6,nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_NNT
6.5,1070374,25,42815.0,42016.0,41216,52512,2915.9,nvjet_sm103_tst_128x8_64x12_2x1_v_bz_splitK_NNT
2.3,384577,103,3733.8,3360.0,3040,5408,742.4,nvjet_sm103_tst_128x64_64x10_2x2_2cta_h_bz_NNT
2.1,351554,100,3515.5,3632.0,2560,4448,507.7,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)0, float, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
1.9,306914,77,3985.9,2592.0,2400,11168,2114.4,nvjet_sm103_tst_64x32_64x16_2x2_2cta_h_bz_NNT
1.9,306817,50,6136.3,6528.0,4832,9664,1280.0,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_splitK_NNT
1.6,265921,25,10636.8,10368.0,10176,13344,788.7,nvjet_sm103_tst_32x64_64x16_4x1_v_bz_NNN
0.7,121058,52,2328.0,2288.0,2112,2816,183.0,nvjet_sm103_tst_64x8_64x16_1x4_h_bz_NNT
0.7,120449,25,4818.0,4864.0,4256,4896,131.3,nvjet_sm103_tst_64x32_64x16_1x2_h_bz_splitK_NNT
0.6,91650,25,3666.0,3616.0,3488,4672,309.4,void cutlass::Kernel2<cutlass_75_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nn_align1>(T1::Params)
0.3,56192,26,2161.2,2112.0,1888,2912,208.0,nvjet_sm103_tst_64x8_64x16_2x4_h_bz_NNT
